DATE,FREQUENCY,REGION,SITE,VALUE,,S.No. ,Year,Month,dewptn,hum,temppm,rainfall
01-01-2005 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.76,,1,2005,Jan,7.87,65.14,13.47,13.9
01-02-2005 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.71, ,2,2005,Feb,9.99,59.87,16.84,35.7
01-03-2005 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.71,,3,2005,Mar,14.01,51.52,23.68,29.9
01-04-2005 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.71,,4,2005,Apr,8.44,23.84,28.6,2.7
01-05-2005 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",4.15,,5,2005,May,12.87,25.63,32.27,7.6
01-06-2005 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.71,,6,2005,Jun,19.23,39.25,33.98,53.9
01-07-2005 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.71,,7,2005,Jul,25.68,72.84,30.17,175.6
01-08-2005 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.21,,8,2005,Aug,23.87,59.12,31.41,52.6
01-09-2005 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.71,,9,2005,Sep,23.68,70.43,28.78,146.7
01-10-2005 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.71,,10,2005,Oct,16.3,55.35,25.07,0
01-11-2005 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.72,,11,2005,Nov,9.75,50.38,19.51,0.8
01-12-2005 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.71,,12,2005,Dec,6.07,59.71,13.68,0
01-01-2006 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.54,,13,2006,Jan,6.13,56.57,13.98,2.3
01-02-2006 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.48,,14,2006,Feb,11.83,52.64,21.12,0.1
01-03-2006 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.48,,15,2006,Mar,12.34,49.43,22.52,30.4
01-04-2006 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.48,,16,2006,Apr,11.34,27.41,29.58,0.6
01-05-2006 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.85,,17,2006,May,20.08,41.41,33.13,24.8
01-06-2006 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.48,,18,2006,Jun,20.75,47.87,32.07,45.4
01-07-2006 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.48,,19,2006,Jul,25.69,69.66,30.97,135.2
01-08-2006 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.3,,20,2006,Aug,24.71,65.57,30.55,32.1
01-09-2006 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.48,,21,2006,Sep,22.92,65.36,29.11,49.9
01-10-2006 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.48,,22,2006,Oct,17.79,56.28,26.05,3.8
01-11-2006 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.26,,23,2006,Nov,13.53,62.46,20.21,1.2
01-12-2006 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.48,,24,2006,Dec,9.2,63.83,15.46,5.2
01-01-2007 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.43,,25,2007,Jan,6.82,62.91,13.39,0.5
01-02-2007 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.28,,26,2007,Feb,12.23,68.4,17.62,76
01-03-2007 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.28,,27,2007,Mar,13.11,54.2,21.74,40.1
01-04-2007 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.28,,28,2007,Apr,14.19,30.99,30.45,2
01-05-2007 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.83,,29,2007,May,18.29,38.74,31.76,12.4
01-06-2007 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.28,,30,2007,Jun,22.88,52.56,32.88,88.7
01-07-2007 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.28,,31,2007,Jul,25.55,67.56,31.13,82
01-08-2007 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",2.83,,32,2007,Aug,25.6,70.11,30.6,87.9
01-09-2007 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.28,,33,2007,Sep,23.61,67.11,29.17,55.2
01-10-2007 00:00,b'Monthly',"{'id': 'IN-DL-ET', 'name': 'East', 'regionid': 'IN-DL-ET'}","{'id': 'KN.A11338', 'name': 'Nagali Rajapur Pz'}",3.28,,34,2007,Oct,14.05,49.63,24.45,0.1
